TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - Boiler electric individual STATIONAR HWE 860,3.070-030.0,Radiator electric individual,Nou,,0.0,
Karcher - Aparat de curatat cu inalta presiune stationar HD 7/16-4 ST,1.524-950.2,cod comanda: 1.524-950.2,Nou,,0.0,
Karcher - Aparate stationare de curatare cu presiune HDC Advanced,1.509-502.2,"Solutia perfecta pentru curatarea performanta regulata sau frecventa in diverse sectoare de activitate. Pentru utilizarea simultana a 2 -12 puncte de bransament.,Cod de comanda:1.509-502.2",Nou,,0.0,
Karcher - Curatitor cu presiune self service SB Wash 5/10 Fp,1.319-201.0,"Acest aparat in regim self-service este un aparat de spalat cu inalta presiune compact, incastrat complet in carcasa si activat prin introducerea de monede, care poate fi pornit prin introducerea de monede sau jetoane. Operarea de catre utilizator este extrem de simpla deoarece selectarea programelor se face rotind un buton pe usa frontala. Fiecare program de spalare este ilustrat printr-o pictograma si toate programele sunt ordonate cronologic si sunt explicate. in intervalele de spalare date, clientul este liber sa aleaga si sa schimbe programele de spalare.,cod comanda: 1.319-201.0",Nou,,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 25/15-4 Cage Plus,1.353-907.0,"Aparat de curatat cu inalta presiune fara incalzire pentru activitati intense de curatare.,cod comanda: 1.353-907.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 9/23 De,1.187-907.0,"Pentru utilizare autonoma in zone cu infrastructura slab-dezvoltata - Aparatul de curatat cu inalta presiune HD 9/23 De pe motorina, portabil, cu apa rece si presiune de 230 bar pentru randament de curatare ridicat.,cod comanda: 1.187-907.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 10/15-4 Cage Food,1.353-908.0,"Aparat de curatat cu inalta presiune fara incalzirea apei pentru utilizarea universala in domeniul alimentar.,cod comanda: 1.353-908.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 16/15-4 Cage Plus,1.353-905.0,"Aparat de curatat cu inalta presiune fara incalzire pentru activitati intense de curatare.,cod comanda: 1.353-905.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 25/15-4 Cage Plus,1.353-906.0,"Aparat de curatat cu inalta presiune fara incalzire pentru activitati intense de curatare.,cod comanda: 1.353-906.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 17/14-4S Plus,1.286-915.0,"HD 17/14 - 4 S Plus - un aparat de curatat cu apa rece sub presiune echipat cu un pistol ,EASY!Force, si functie Servo Control pentru presiune si reglarea debitului de apa,cod comanda: 1.286-915.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 17/14-4SX Plus, 1.286-931.0,"Aparatul de curatat cu apa rece sub presiune HD 17/14 - 4 SX Plus are un design vertical si datorita pistolului ,EASY!Force, si functiei Servo Control asigura confort sporit de lucru.,Varianta Sx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20 m,cod comanda: 1.286-931.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 7/16 C,1.173-900.0,"HDS 7/16 C trifazic - curatitor cu apa calda sub presiune din clasa Compact, cu presiune variabila si reglarea debitului, mod eco!efficiency si multe alte functii practice,Cod de comanda:1.173-900.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BR 35/12 C Bp Pack,1.783-467.0,"Echipat cu tehnologia inovatoare KART, mașina de frecat și uscat alimentată cu acumulatori BR 35/12 C impresionează prin agilitatea superbă, greutatea redusă şi performanţele ridicate de curăţare.,cod comanda: 1.783-467.0",Nou,La comanda,0.0,
Karcher - Aparate stationare de curatare cu presiune HDC Classic,1.509-501.2,"Solutia perfecta pentru curatarea performanta regulata sau frecventa in diverse sectoare de activitate. Pentru utilizarea simultana a 2 - 3 puncte de bransament.,cod comanda: 1.509-501.2",Nou,,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 80/100 W Bp Classic,1.127-012.0,"Lățimea de lucru de 80 cm si volumul rezervorului de 100 litri garantează o curățare eficientă durată lungă de lucru cu mașina de frecat și uscat BD 80/100 W Bp Classic.,cod comanda: ,1.127-012.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 70/75 W Bp Pack Classic,1.127-019.0,"Ușor de utilizat, design robust, durată lungă de funcționare: Mașina noastră de frecat și uscat BD 70/75 W Bp Pack Classic este impresionant de versatilă și are un acumulator AGM de 170 Ah.,cod comanda: 1.127-019.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 50/50 C Bp Pack Classic,1.127-006.0,"BD 50/50 C Bp Pack Classic este un model de bază accesibil și compact în clasa mașinilor de frecat și uscat alimentate cu acumulatori. Mașina permite performanțe de suprafață de până la 2000 m²/h.,cod comanda: 1.127-006.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 43/25 C Bp Pack,1.515-403.0,"Masina de frecat aspirat pe acumulatori (76 Ah) - BD 43/25 C Bp Pack - cu tehnologie disc, foarte eficienta pentru curatare profunda si de intretinerea suprafteleor de pana la 900 metri patrati.,cod comanda: ,1.515-403.0",Nou,La comanda,0.0,
Karcher - IVC 60/30 Ap M Z22,1.576-106.0,"Aspirator industrial compact cu suflanta laterala rezistenta pentru utilizare continua( de ex. In productie). Pentru praf fin din clasa M, zona 22 ATEX si zone cu cerinte speciale igienice.,IVC 60/12-1 Tact Ap M Z22 este un aspirator industrial compact cu suflanta laterala foarte rezistenta, ideal pentru utilizare continua si cu o interfata standard pentru toate sistemele de control ale aparatului. Este destinat pentru folosirea in zone de productie si pentru curatarea utilajelor din ATEX zona 22. Aparatul este potrivit si pentru zonele in care exista praf clasa M, daunator pentru sanatate sau in zonele care presupun norme foarte stricte de igiena.",Nou,,0.0,
Karcher - CURATITOR CU APA SUB PRESIUNE HDS-E 8/16-4 M 12 kW,1.030-900.0,"La modelul nostru HDS 8/16-4 M - aparat de curatat cu presiune cu apa calda, izolatia boilerului reduce consumul de electricitate necesar incalzirii (12 kW) in modul standard cu pana la 40%.,cod comanda: 1.030-900.0",Nou,,0.0,
Karcher - CURATITOR CU APA SUB PRESIUNE HDS 13/20-4 SX,1.071-932.0,"HDS 13/20-4 SX: cel mai puternic aparat de curatat cu presiune cu apa fierbinte din clasa Super.,Varianta SX vine in plus cu:,-tambur pentru strangerea furtunului de presiune,-furtun presiune de 20 m ,-display mare LED,cod comanda: 1.071-932.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu presiune HD 10/25-4 Cage Plus,1.353-902.0,"Aparat de curatat cu inalta presiune fara incalzire pentru utilizarea extrem de dura.,cod comanda: 1.353-902.0",Nou,La comanda,0.0,
Karcher - MASINA DE FRECAT ASPIRAT BR 45/22 C,1.783-460.0,"Masina de frecat aspirat, pe acumulatori, complet echipata, BR 45/22 C Bp Pack. Cu cap perie rotativa si tehnologie KART, pentru manevrabilitate si randament pe suprafata maxime.,cod comanda: 1.783-460.0",Nou,La comanda,0.0,
Karcher - Masina de frecat aspirat BR 40/10C,1.783-311.0,"BR 40/10 este succesorul BR 400, cea mai economica masina din clasa sa. Aceasta masina puternica si compacta are o latime de lucru de 400 mm si un volum al rezervorului de 10 l. Versiunea Advance este echipata cu roti suplimentare pentru transport si reglarea presiunii de contact a periei.,Cod de comanda:1.783-311.0",Nou,La comanda,0.0,
Karcher - Masina de frecat aspirat BD 38/12 C Bp Pack,1.783-430.0,"Usoara, silentioasa si agila: Masina de frecat/aspirat BD 38/12 C cu cap disc este echipata cu un acumulator litiu-ion de inalta performanta, reincarcabil rapid si mod eco-eficienta.,Cod de comanda:1.783-430.0",Nou,La comanda,0.0,
Karcher - Masina de frecat aspirat BD 40/25 C Ep,1.515-152.0,"Masina de frecat - aspirat, condusa manual si actionata prin curent cu tehnica de cilindrii si o performanta de suprafata de 1600 m²/h. Pentru curatarea economica in detaliu si de intretinere si pentru polisarea suprafetelor de pana la 800 m².,Cod de comanda:1.515-152.0",Nou,,0.0,
